,concept_id,concept_name,hierarchy
3,104001,Excision of lesion of patella (procedure),procedure
4,107008,Structure of fetal part of placenta (body structure),body structure
5,108003,Entire condylar emissary vein (body structure),body structure
6,110001,Structure of visceral layer of Bowman's capsule (body structure),body structure
7,111002,Parathyroid structure (body structure),body structure
11,115006,Removable appliance therapy (procedure),procedure
12,116007,Subcutaneous tissue structure of medial surface of index finger (body structure),body structure
15,119000,Thoracoscopic partial lobectomy of lung (procedure),procedure
17,122003,Choroidal hemorrhage (disorder),disorder
18,124002,Structure of coronoid process of mandible (body structure),body structure
21,127009,Miscarriage with laceration of cervix (disorder),disorder
22,128004,Hand microscope examination of skin (procedure),procedure
23,129007,Homoiothermia (finding),finding
27,133000,Percutaneous implantation of neurostimulator electrodes into neuromuscular component (procedure),procedure
28,134006,Decreased hair growth (finding),finding
29,135007,Arthrotomy of wrist joint with exploration and biopsy (procedure),procedure
34,140004,Chronic pharyngitis (disorder),disorder
35,142007,"Excision of tumor from shoulder area, deep, intramuscular (procedure)",procedure
36,144008,Normal peripheral vision (finding),finding
37,145009,Colloid milium (morphologic abnormality),morphologic abnormality
38,146005,Repair of nonunion of metatarsal with bone graft (procedure),procedure
41,149003,"Central pair of microtubules, cilium or flagellum, not bacterial (cell structure)",cell structure
42,150003,Abnormal urinary bladder continence (finding),finding
43,151004,Gonococcal meningitis (disorder),disorder
44,153001,Cystourethroscopy with resection of ureterocele (procedure),procedure
46,155008,Structure of deep circumflex iliac artery (body structure),body structure
50,161006,Thermal injury (morphologic abnormality),morphologic abnormality
51,162004,Severe manic bipolar I disorder without psychotic features (disorder),disorder
54,165002,Accident prone (finding),finding
55,166001,Behavioral therapy (regime/therapy),regime/therapy
56,167005,Structure of supraclavicular part of brachial plexus (body structure),body structure
57,168000,Typhlolithiasis (disorder),disorder
59,170009,"Special potency disk identification, vancomycin test (procedure)",procedure
60,171008,Injury of ascending right colon without open wound into abdominal cavity (disorder),disorder
62,174000,Vaginopexy by colposuspension (procedure),procedure
63,175004,Supraorbital neuralgia (finding),finding
64,176003,Anastomosis of rectum (procedure),procedure
65,177007,Poisoning by sawfly larvae (disorder),disorder
67,179005,Apraxia of dressing (finding),finding
69,181007,Hemorrhagic bronchopneumonia (disorder),disorder
70,182000,Canalization (morphologic abnormality),morphologic abnormality
71,183005,Autoimmune pancytopenia (disorder),disorder
72,184004,Withdrawal arrhythmia (disorder),disorder
76,188001,Injury of intercostal artery (disorder),disorder
77,189009,Excision of lesion of artery (procedure),procedure
79,192008,Congenital syphilitic hepatomegaly (disorder),disorder
80,193003,Benign hypertensive renal disease (disorder),disorder
83,197002,Mold to yeast conversion test (procedure),procedure
84,198007,Disease caused by Filoviridae (disorder),disorder
85,199004,Decreased lactation (finding),finding
88,202009,Structure of anterior division of renal artery (body structure),body structure
89,205006,Entire left commissure of aortic valve (body structure),body structure
90,206007,Structure of gluteus maximus muscle (body structure),body structure
97,216004,Delusion of persecution (finding),finding
100,219006,Current drinker of alcohol (finding),finding
